inning,half_inning,on_1b,on_2b,on_3b,outs,score_diff,leverage_index
1,bot,0,1,0,0,-4,1.1
1,bot,0,1,0,0,-3,1.2
1,bot,0,1,0,0,-2,1.3
1,bot,0,1,0,0,-1,1.2
1,bot,0,1,0,0,0,1.1
1,bot,0,1,0,0,1,1.0
1,bot,0,1,0,0,2,0.8
1,bot,0,1,0,0,3,0.6
1,bot,0,1,0,0,4,0.5
1,bot,0,1,1,0,-4,1.4
1,bot,0,1,1,0,-3,1.5
1,bot,0,1,1,0,-2,1.5
1,bot,0,1,1,0,-1,1.4
1,bot,0,1,1,0,0,1.3
1,bot,0,1,1,0,1,1.1
1,bot,0,1,1,0,2,0.9
1,bot,0,1,1,0,3,0.7
1,bot,0,1,1,0,4,0.5
1,bot,1,0,0,0,-4,1.2
1,bot,1,0,0,0,-3,1.4
1,bot,1,0,0,0,-2,1.5
1,bot,1,0,0,0,-1,1.5
1,bot,1,0,0,0,0,1.4
1,bot,1,0,0,0,1,1.2
1,bot,1,0,0,0,2,1.0
1,bot,1,0,0,0,3,0.8
1,bot,1,0,0,0,4,0.6
1,bot,1,0,1,0,-4,1.6
1,bot,1,0,1,0,-3,1.7
1,bot,1,0,1,0,-2,1.7
1,bot,1,0,1,0,-1,1.6
1,bot,1,0,1,0,0,1.4
1,bot,1,0,1,0,1,1.2
1,bot,1,0,1,0,2,1.0
1,bot,1,0,1,0,3,0.7
1,bot,1,0,1,0,4,0.5
1,bot,1,1,0,0,-4,1.7
1,bot,1,1,0,0,-3,1.9
1,bot,1,1,0,0,-2,2.0
1,bot,1,1,0,0,-1,1.9
1,bot,1,1,0,0,0,1.7
1,bot,1,1,0,0,1,1.5
1,bot,1,1,0,0,2,1.2
1,bot,1,1,0,0,3,0.9
1,bot,1,1,0,0,4,0.7
1,bot,1,1,1,0,-4,2.2
1,bot,1,1,1,0,-3,2.3
1,bot,1,1,1,0,-2,2.3
1,bot,1,1,1,0,-1,2.1
1,bot,1,1,1,0,0,1.9
1,bot,1,1,1,0,1,1.6
1,bot,1,1,1,0,2,1.2
1,bot,1,1,1,0,3,0.9
1,bot,1,1,1,0,4,0.7
1,bot,0,0,0,1,-4,0.5
1,bot,0,0,0,1,-3,0.6
1,bot,0,0,0,1,-2,0.6
1,bot,0,0,0,1,-1,0.7
1,bot,0,0,0,1,0,0.6
1,bot,0,0,0,1,1,0.6
1,bot,0,0,0,1,2,0.5
1,bot,0,0,0,1,3,0.4
1,bot,0,0,0,1,4,0.3
1,bot,0,0,1,1,-4,1.0
1,bot,0,0,1,1,-3,1.1
1,bot,0,0,1,1,-2,1.3
1,bot,0,0,1,1,-1,1.3
1,bot,0,0,1,1,0,1.3
1,bot,0,0,1,1,1,1.1
1,bot,0,0,1,1,2,1.0
1,bot,0,0,1,1,3,0.8
1,bot,0,0,1,1,4,0.6
1,bot,0,1,0,1,-4,1.0
1,bot,0,1,0,1,-3,1.1
1,bot,0,1,0,1,-2,1.2
1,bot,0,1,0,1,-1,1.2
1,bot,0,1,0,1,0,1.2
1,bot,0,1,0,1,1,1.0
1,bot,0,1,0,1,2,0.9
1,bot,0,1,0,1,3,0.7
1,bot,0,1,0,1,4,0.5
1,bot,0,1,1,1,-4,1.4
1,bot,0,1,1,1,-3,1.5
1,bot,0,1,1,1,-2,1.6
1,bot,0,1,1,1,-1,1.5
1,bot,0,1,1,1,0,1.4
1,bot,0,1,1,1,1,1.2
1,bot,0,1,1,1,2,1.0
1,bot,0,1,1,1,3,0.8
1,bot,0,1,1,1,4,0.6
1,bot,1,0,0,1,-4,1.0
1,bot,1,0,0,1,-3,1.1
1,bot,1,0,0,1,-2,1.2
1,bot,1,0,0,1,-1,1.2
1,bot,1,0,0,1,0,1.1
1,bot,1,0,0,1,1,1.0
1,bot,1,0,0,1,2,0.8
1,bot,1,0,0,1,3,0.7
1,bot,1,0,0,1,4,0.5
1,bot,1,0,1,1,-4,1.5
1,bot,1,0,1,1,-3,1.7
1,bot,1,0,1,1,-2,1.8
1,bot,1,0,1,1,-1,1.8
1,bot,1,0,1,1,0,1.7
1,bot,1,0,1,1,1,1.5
1,bot,1,0,1,1,2,1.2
1,bot,1,0,1,1,3,1.0
1,bot,1,0,1,1,4,0.8
1,bot,1,1,0,1,-4,1.7
1,bot,1,1,0,1,-3,1.9
1,bot,1,1,0,1,-2,2.0
1,bot,1,1,0,1,-1,2.0
1,bot,1,1,0,1,0,1.8
1,bot,1,1,0,1,1,1.6
1,bot,1,1,0,1,2,1.3
1,bot,1,1,0,1,3,1.0
1,bot,1,1,0,1,4,0.8
1,bot,1,1,1,1,-4,2.4
1,bot,1,1,1,1,-3,2.6
1,bot,1,1,1,1,-2,2.6
1,bot,1,1,1,1,-1,2.6
1,bot,1,1,1,1,0,2.3
1,bot,1,1,1,1,1,2.0
1,bot,1,1,1,1,2,1.6
1,bot,1,1,1,1,3,1.3
1,bot,1,1,1,1,4,1.0
1,bot,0,0,0,2,-4,0.3
1,bot,0,0,0,2,-3,0.4
1,bot,0,0,0,2,-2,0.4
1,bot,0,0,0,2,-1,0.4
1,bot,0,0,0,2,0,0.4
1,bot,0,0,0,2,1,0.4
1,bot,0,0,0,2,2,0.3
1,bot,0,0,0,2,3,0.3
1,bot,0,0,0,2,4,0.2
1,bot,0,0,1,2,-4,1.0
1,bot,0,0,1,2,-3,1.1
1,bot,0,0,1,2,-2,1.3
1,bot,0,0,1,2,-1,1.3
1,bot,0,0,1,2,0,1.3
1,bot,0,0,1,2,1,1.2
1,bot,0,0,1,2,2,1.0
1,bot,0,0,1,2,3,0.8
1,bot,0,0,1,2,4,0.6
1,bot,0,1,0,2,-4,0.8
1,bot,0,1,0,2,-3,1.0
1,bot,0,1,0,2,-2,1.1
1,bot,0,1,0,2,-1,1.1
1,bot,0,1,0,2,0,1.1
1,bot,0,1,0,2,1,1.0
1,bot,0,1,0,2,2,0.8
1,bot,0,1,0,2,3,0.7
1,bot,0,1,0,2,4,0.5
1,bot,0,1,1,2,-4,1.6
1,bot,0,1,1,2,-3,1.8
1,bot,0,1,1,2,-2,2.0
1,bot,0,1,1,2,-1,2.0
1,bot,0,1,1,2,0,1.9
1,bot,0,1,1,2,1,1.7
1,bot,0,1,1,2,2,1.4
1,bot,0,1,1,2,3,1.1
1,bot,0,1,1,2,4,0.8
1,bot,1,0,0,2,-4,0.6
1,bot,1,0,0,2,-3,0.7
1,bot,1,0,0,2,-2,0.8
1,bot,1,0,0,2,-1,0.8
1,bot,1,0,0,2,0,0.8
1,bot,1,0,0,2,1,0.7
1,bot,1,0,0,2,2,0.6
1,bot,1,0,0,2,3,0.5
1,bot,1,0,0,2,4,0.4
1,bot,1,0,1,2,-4,1.4
1,bot,1,0,1,2,-3,1.6
1,bot,1,0,1,2,-2,1.7
1,bot,1,0,1,2,-1,1.8
1,bot,1,0,1,2,0,1.7
1,bot,1,0,1,2,1,1.5
1,bot,1,0,1,2,2,1.3
1,bot,1,0,1,2,3,1.0
1,bot,1,0,1,2,4,0.8
1,bot,1,1,0,2,-4,1.3
1,bot,1,1,0,2,-3,1.5
1,bot,1,1,0,2,-2,1.6
1,bot,1,1,0,2,-1,1.7
1,bot,1,1,0,2,0,1.6
1,bot,1,1,0,2,1,1.4
1,bot,1,1,0,2,2,1.2
1,bot,1,1,0,2,3,0.9
1,bot,1,1,0,2,4,0.7
1,bot,1,1,1,2,-4,2.4
1,bot,1,1,1,2,-3,2.7
1,bot,1,1,1,2,-2,2.9
1,bot,1,1,1,2,-1,2.9
1,bot,1,1,1,2,0,2.7
1,bot,1,1,1,2,1,2.4
1,bot,1,1,1,2,2,2.0
1,bot,1,1,1,2,3,1.5
1,bot,1,1,1,2,4,1.2
2,top,0,0,0,0,-4,0.4
2,top,0,0,0,0,-3,0.6
2,top,0,0,0,0,-2,0.7
2,top,0,0,0,0,-1,0.8
2,top,0,0,0,0,0,0.9
2,top,0,0,0,0,1,1.0
2,top,0,0,0,0,2,0.9
2,top,0,0,0,0,3,0.8
2,top,0,0,0,0,4,0.7
2,top,0,0,1,0,-4,0.4
2,top,0,0,1,0,-3,0.6
2,top,0,0,1,0,-2,0.8
2,top,0,0,1,0,-1,0.9
2,top,0,0,1,0,0,1.1
2,top,0,0,1,0,1,1.1
2,top,0,0,1,0,2,1.2
2,top,0,0,1,0,3,1.1
2,top,0,0,1,0,4,0.9
2,top,0,1,0,0,-4,0.5
2,top,0,1,0,0,-3,0.7
2,top,0,1,0,0,-2,0.9
2,top,0,1,0,0,-1,1.1
2,top,0,1,0,0,0,1.2
2,top,0,1,0,0,1,1.3
2,top,0,1,0,0,2,1.3
2,top,0,1,0,0,3,1.2
2,top,0,1,0,0,4,1.0
2,top,0,1,1,0,-4,0.6
2,top,0,1,1,0,-3,0.8
2,top,0,1,1,0,-2,1.0
2,top,0,1,1,0,-1,1.2
2,top,0,1,1,0,0,1.4
2,top,0,1,1,0,1,1.5
2,top,0,1,1,0,2,1.6
2,top,0,1,1,0,3,1.5
2,top,0,1,1,0,4,1.4
2,top,1,0,0,0,-4,0.7
2,top,1,0,0,0,-3,0.9
2,top,1,0,0,0,-2,1.1
2,top,1,0,0,0,-1,1.3
2,top,1,0,0,0,0,1.5
2,top,1,0,0,0,1,1.5
2,top,1,0,0,0,2,1.5
2,top,1,0,0,0,3,1.4
2,top,1,0,0,0,4,1.2
2,top,1,0,1,0,-4,0.6
2,top,1,0,1,0,-3,0.8
2,top,1,0,1,0,-2,1.1
2,top,1,0,1,0,-1,1.3
2,top,1,0,1,0,0,1.6
2,top,1,0,1,0,1,1.7
2,top,1,0,1,0,2,1.8
2,top,1,0,1,0,3,1.7
2,top,1,0,1,0,4,1.5
2,top,1,1,0,0,-4,0.8
2,top,1,1,0,0,-3,1.1
2,top,1,1,0,0,-2,1.4
2,top,1,1,0,0,-1,1.6
2,top,1,1,0,0,0,1.9
2,top,1,1,0,0,1,2.0
2,top,1,1,0,0,2,2.0
2,top,1,1,0,0,3,1.9
2,top,1,1,0,0,4,1.7
2,top,1,1,1,0,-4,0.8
2,top,1,1,1,0,-3,1.1
2,top,1,1,1,0,-2,1.4
2,top,1,1,1,0,-1,1.7
2,top,1,1,1,0,0,2.0
2,top,1,1,1,0,1,2.3
2,top,1,1,1,0,2,2.4
2,top,1,1,1,0,3,2.3
2,top,1,1,1,0,4,2.1
2,top,0,0,0,1,-4,0.3
2,top,0,0,0,1,-3,0.4
2,top,0,0,0,1,-2,0.5
2,top,0,0,0,1,-1,0.6
2,top,0,0,0,1,0,0.7
2,top,0,0,0,1,1,0.7
2,top,0,0,0,1,2,0.6
2,top,0,0,0,1,3,0.6
2,top,0,0,0,1,4,0.5
2,top,0,0,1,1,-4,0.7
2,top,0,0,1,1,-3,0.9
2,top,0,0,1,1,-2,1.1
2,top,0,0,1,1,-1,1.2
2,top,0,0,1,1,0,1.3
2,top,0,0,1,1,1,1.3
2,top,0,0,1,1,2,1.3
2,top,0,0,1,1,3,1.1
2,top,0,0,1,1,4,0.9
2,top,0,1,0,1,-4,0.6
2,top,0,1,0,1,-3,0.8
2,top,0,1,0,1,-2,1.0
2,top,0,1,0,1,-1,1.1
2,top,0,1,0,1,0,1.2
2,top,0,1,0,1,1,1.3
2,top,0,1,0,1,2,1.2
2,top,0,1,0,1,3,1.1
2,top,0,1,0,1,4,0.9
2,top,0,1,1,1,-4,0.7
2,top,0,1,1,1,-3,0.9
2,top,0,1,1,1,-2,1.1
2,top,0,1,1,1,-1,1.3
2,top,0,1,1,1,0,1.5
2,top,0,1,1,1,1,1.6
2,top,0,1,1,1,2,1.6
2,top,0,1,1,1,3,1.5
2,top,0,1,1,1,4,1.3
2,top,1,0,0,1,-4,0.6
2,top,1,0,0,1,-3,0.7
2,top,1,0,0,1,-2,0.9
2,top,1,0,0,1,-1,1.1
2,top,1,0,0,1,0,1.2
2,top,1,0,0,1,1,1.3
2,top,1,0,0,1,2,1.2
2,top,1,0,0,1,3,1.1
2,top,1,0,0,1,4,0.9
2,top,1,0,1,1,-4,0.9
2,top,1,0,1,1,-3,1.1
2,top,1,0,1,1,-2,1.4
2,top,1,0,1,1,-1,1.6
2,top,1,0,1,1,0,1.8
2,top,1,0,1,1,1,1.8
2,top,1,0,1,1,2,1.8
2,top,1,0,1,1,3,1.6
2,top,1,0,1,1,4,1.4
2,top,1,1,0,1,-4,0.9
2,top,1,1,0,1,-3,1.2
2,top,1,1,0,1,-2,1.5
2,top,1,1,0,1,-1,1.8
2,top,1,1,0,1,0,2.0
2,top,1,1,0,1,1,2.1
2,top,1,1,0,1,2,2.0
2,top,1,1,0,1,3,1.8
2,top,1,1,0,1,4,1.6
2,top,1,1,1,1,-4,1.1
2,top,1,1,1,1,-3,1.5
2,top,1,1,1,1,-2,1.8
2,top,1,1,1,1,-1,2.2
2,top,1,1,1,1,0,2.5
2,top,1,1,1,1,1,2.7
2,top,1,1,1,1,2,2.7
2,top,1,1,1,1,3,2.6
2,top,1,1,1,1,4,2.3
2,top,0,0,0,2,-4,0.2
2,top,0,0,0,2,-3,0.3
2,top,0,0,0,2,-2,0.3
2,top,0,0,0,2,-1,0.4
2,top,0,0,0,2,0,0.4
2,top,0,0,0,2,1,0.4
2,top,0,0,0,2,2,0.4
2,top,0,0,0,2,3,0.3
2,top,0,0,0,2,4,0.3
2,top,0,0,1,2,-4,0.7
2,top,0,0,1,2,-3,0.9
2,top,0,0,1,2,-2,1.1
2,top,0,0,1,2,-1,1.3
2,top,0,0,1,2,0,1.4
2,top,0,0,1,2,1,1.4
2,top,0,0,1,2,2,1.2
2,top,0,0,1,2,3,1.1
2,top,0,0,1,2,4,0.9
2,top,0,1,0,2,-4,0.6
2,top,0,1,0,2,-3,0.8
2,top,0,1,0,2,-2,0.9
2,top,0,1,0,2,-1,1.1
2,top,0,1,0,2,0,1.2
2,top,0,1,0,2,1,1.2
2,top,0,1,0,2,2,1.1
2,top,0,1,0,2,3,0.9
2,top,0,1,0,2,4,0.8
2,top,0,1,1,2,-4,1.0
2,top,0,1,1,2,-3,1.2
2,top,0,1,1,2,-2,1.5
2,top,0,1,1,2,-1,1.8
2,top,0,1,1,2,0,2.0
2,top,0,1,1,2,1,2.1
2,top,0,1,1,2,2,2.0
2,top,0,1,1,2,3,1.7
2,top,0,1,1,2,4,1.4
2,top,1,0,0,2,-4,0.4
2,top,1,0,0,2,-3,0.5
2,top,1,0,0,2,-2,0.7
2,top,1,0,0,2,-1,0.8
2,top,1,0,0,2,0,0.8
2,top,1,0,0,2,1,0.9
2,top,1,0,0,2,2,0.8
2,top,1,0,0,2,3,0.7
2,top,1,0,0,2,4,0.6
2,top,1,0,1,2,-4,0.9
2,top,1,0,1,2,-3,1.1
2,top,1,0,1,2,-2,1.4
2,top,1,0,1,2,-1,1.6
2,top,1,0,1,2,0,1.8
2,top,1,0,1,2,1,1.8
2,top,1,0,1,2,2,1.7
2,top,1,0,1,2,3,1.5
2,top,1,0,1,2,4,1.3
2,top,1,1,0,2,-4,0.8
2,top,1,1,0,2,-3,1.0
2,top,1,1,0,2,-2,1.3
2,top,1,1,0,2,-1,1.5
2,top,1,1,0,2,0,1.7
2,top,1,1,0,2,1,1.7
2,top,1,1,0,2,2,1.6
2,top,1,1,0,2,3,1.4
2,top,1,1,0,2,4,1.2
2,top,1,1,1,2,-4,1.3
2,top,1,1,1,2,-3,1.7
2,top,1,1,1,2,-2,2.2
2,top,1,1,1,2,-1,2.6
2,top,1,1,1,2,0,2.9
2,top,1,1,1,2,1,3.0
2,top,1,1,1,2,2,2.9
2,top,1,1,1,2,3,2.6
2,top,1,1,1,2,4,2.2
2,bot,0,0,0,0,-4,0.8
2,bot,0,0,0,0,-3,0.9
2,bot,0,0,0,0,-2,1.0
2,bot,0,0,0,0,-1,1.0
2,bot,0,0,0,0,0,0.9
2,bot,0,0,0,0,1,0.8
2,bot,0,0,0,0,2,0.6
2,bot,0,0,0,0,3,0.5
2,bot,0,0,0,0,4,0.4
2,bot,0,0,1,0,-4,1.0
2,bot,0,0,1,0,-3,1.2
2,bot,0,0,1,0,-2,1.2
2,bot,0,0,1,0,-1,1.2
2,bot,0,0,1,0,0,1.0
2,bot,0,0,1,0,1,0.9
2,bot,0,0,1,0,2,0.7
2,bot,0,0,1,0,3,0.5
2,bot,0,0,1,0,4,0.4
2,bot,0,1,0,0,-4,1.1
2,bot,0,1,0,0,-3,1.3
2,bot,0,1,0,0,-2,1.3
2,bot,0,1,0,0,-1,1.3
2,bot,0,1,0,0,0,1.2
2,bot,0,1,0,0,1,1.0
2,bot,0,1,0,0,2,0.8
2,bot,0,1,0,0,3,0.6
2,bot,0,1,0,0,4,0.4
2,bot,0,1,1,0,-4,1.5
2,bot,0,1,1,0,-3,1.6
2,bot,0,1,1,0,-2,1.6
2,bot,0,1,1,0,-1,1.5
2,bot,0,1,1,0,0,1.3
2,bot,0,1,1,0,1,1.1
2,bot,0,1,1,0,2,0.9
2,bot,0,1,1,0,3,0.7
2,bot,0,1,1,0,4,0.5
2,bot,1,0,0,0,-4,1.3
2,bot,1,0,0,0,-3,1.5
2,bot,1,0,0,0,-2,1.6
2,bot,1,0,0,0,-1,1.6
2,bot,1,0,0,0,0,1.5
2,bot,1,0,0,0,1,1.2
2,bot,1,0,0,0,2,1.0
2,bot,1,0,0,0,3,0.8
2,bot,1,0,0,0,4,0.6
2,bot,1,0,1,0,-4,1.6
2,bot,1,0,1,0,-3,1.8
2,bot,1,0,1,0,-2,1.8
2,bot,1,0,1,0,-1,1.7
2,bot,1,0,1,0,0,1.5
2,bot,1,0,1,0,1,1.2
2,bot,1,0,1,0,2,0.9
2,bot,1,0,1,0,3,0.7
2,bot,1,0,1,0,4,0.5
2,bot,1,1,0,0,-4,1.8
2,bot,1,1,0,0,-3,2.0
2,bot,1,1,0,0,-2,2.1
2,bot,1,1,0,0,-1,2.0
2,bot,1,1,0,0,0,1.8
2,bot,1,1,0,0,1,1.5
2,bot,1,1,0,0,2,1.2
2,bot,1,1,0,0,3,0.9
2,bot,1,1,0,0,4,0.7
2,bot,1,1,1,0,-4,2.3
2,bot,1,1,1,0,-3,2.4
2,bot,1,1,1,0,-2,2.4
2,bot,1,1,1,0,-1,2.2
2,bot,1,1,1,0,0,1.9
2,bot,1,1,1,0,1,1.6
2,bot,1,1,1,0,2,1.2
2,bot,1,1,1,0,3,0.9
2,bot,1,1,1,0,4,0.6
2,bot,0,0,0,1,-4,0.5
2,bot,0,0,0,1,-3,0.6
2,bot,0,0,0,1,-2,0.7
2,bot,0,0,0,1,-1,0.7
2,bot,0,0,0,1,0,0.7
2,bot,0,0,0,1,1,0.6
2,bot,0,0,0,1,2,0.5
2,bot,0,0,0,1,3,0.4
2,bot,0,0,0,1,4,0.3
2,bot,0,0,1,1,-4,1.0
2,bot,0,0,1,1,-3,1.2
2,bot,0,0,1,1,-2,1.3
2,bot,0,0,1,1,-1,1.4
2,bot,0,0,1,1,0,1.4
2,bot,0,0,1,1,1,1.2
2,bot,0,0,1,1,2,1.0
2,bot,0,0,1,1,3,0.8
2,bot,0,0,1,1,4,0.6
2,bot,0,1,0,1,-4,1.0
2,bot,0,1,0,1,-3,1.2
2,bot,0,1,0,1,-2,1.3
2,bot,0,1,0,1,-1,1.3
2,bot,0,1,0,1,0,1.2
2,bot,0,1,0,1,1,1.1
2,bot,0,1,0,1,2,0.9
2,bot,0,1,0,1,3,0.7
2,bot,0,1,0,1,4,0.5
2,bot,0,1,1,1,-4,1.4
2,bot,0,1,1,1,-3,1.6
2,bot,0,1,1,1,-2,1.7
2,bot,0,1,1,1,-1,1.6
2,bot,0,1,1,1,0,1.5
2,bot,0,1,1,1,1,1.3
2,bot,0,1,1,1,2,1.0
2,bot,0,1,1,1,3,0.8
2,bot,0,1,1,1,4,0.6
2,bot,1,0,0,1,-4,1.0
2,bot,1,0,0,1,-3,1.2
2,bot,1,0,0,1,-2,1.3
2,bot,1,0,0,1,-1,1.3
2,bot,1,0,0,1,0,1.2
2,bot,1,0,0,1,1,1.0
2,bot,1,0,0,1,2,0.8
2,bot,1,0,0,1,3,0.6
2,bot,1,0,0,1,4,0.5
2,bot,1,0,1,1,-4,1.5
2,bot,1,0,1,1,-3,1.8
2,bot,1,0,1,1,-2,1.9
2,bot,1,0,1,1,-1,1.9
2,bot,1,0,1,1,0,1.8
2,bot,1,0,1,1,1,1.6
2,bot,1,0,1,1,2,1.3
2,bot,1,0,1,1,3,1.0
2,bot,1,0,1,1,4,0.7
2,bot,1,1,0,1,-4,1.7
2,bot,1,1,0,1,-3,2.0
2,bot,1,1,0,1,-2,2.1
2,bot,1,1,0,1,-1,2.1
2,bot,1,1,0,1,0,2.0
2,bot,1,1,0,1,1,1.7
2,bot,1,1,0,1,2,1.3
2,bot,1,1,0,1,3,1.0
2,bot,1,1,0,1,4,0.7
2,bot,1,1,1,1,-4,2.5
2,bot,1,1,1,1,-3,2.7
2,bot,1,1,1,1,-2,2.8
2,bot,1,1,1,1,-1,2.7
2,bot,1,1,1,1,0,2.4
2,bot,1,1,1,1,1,2.1
2,bot,1,1,1,1,2,1.7
2,bot,1,1,1,1,3,1.3
2,bot,1,1,1,1,4,0.9
2,bot,0,0,0,2,-4,0.3
2,bot,0,0,0,2,-3,0.4
2,bot,0,0,0,2,-2,0.4
2,bot,0,0,0,2,-1,0.5
2,bot,0,0,0,2,0,0.4
2,bot,0,0,0,2,1,0.4
2,bot,0,0,0,2,2,0.3
2,bot,0,0,0,2,3,0.2
2,bot,0,0,0,2,4,0.2
2,bot,0,0,1,2,-4,1.0
2,bot,0,0,1,2,-3,1.2
2,bot,0,0,1,2,-2,1.3
2,bot,0,0,1,2,-1,1.4
2,bot,0,0,1,2,0,1.4
2,bot,0,0,1,2,1,1.2
2,bot,0,0,1,2,2,1.0
2,bot,0,0,1,2,3,0.8
2,bot,0,0,1,2,4,0.6
2,bot,0,1,0,2,-4,0.8
2,bot,0,1,0,2,-3,1.0
2,bot,0,1,0,2,-2,1.2
2,bot,0,1,0,2,-1,1.2
2,bot,0,1,0,2,0,1.2
2,bot,0,1,0,2,1,1.0
2,bot,0,1,0,2,2,0.9
2,bot,0,1,0,2,3,0.7
2,bot,0,1,0,2,4,0.5
2,bot,0,1,1,2,-4,1.6
2,bot,0,1,1,2,-3,1.9
2,bot,0,1,1,2,-2,2.1
2,bot,0,1,1,2,-1,2.1
2,bot,0,1,1,2,0,2.0
2,bot,0,1,1,2,1,1.7
2,bot,0,1,1,2,2,1.4
2,bot,0,1,1,2,3,1.1
